date,biomass,hydropower,wind_offshore,wind_onshore,solar,other_renewables,nuclear_energy,lignite,hard_coal,natural_gas,pumped_storage,other_conventional,realized_load
2015-01-01 00:00:00+00:00,995.6875,297.0,129.0625,2074.375,0.0,30.625,2771.5625,3830.4375,587.8125,217.6875,269.8125,1233.1875,10863.6875
2015-01-01 01:00:00+00:00,1004.875,284.8125,128.5,2135.0,0.0,23.25,2756.5625,3704.375,556.75,202.375,196.75,1260.4375,10490.8125
2015-01-01 02:00:00+00:00,1010.1875,280.625,129.4375,2138.0,0.0,21.625,2756.9375,3518.75,584.9375,205.25,71.9375,1271.0,10154.4375
2015-01-01 03:00:00+00:00,1009.4375,278.0,129.9375,2160.875,0.0,21.625,2740.5625,3528.75,615.375,207.8125,86.6875,1267.6875,9984.1875
2015-01-01 04:00:00+00:00,1007.0625,276.9375,130.0,2177.9375,0.0,21.6875,2674.0,3368.5625,554.4375,212.75,191.375,1274.1875,9818.125
2015-01-01 05:00:00+00:00,1003.3125,277.9375,130.375,2291.8125,0.0,21.75,2574.875,3100.9375,593.3125,217.0625,103.625,1288.25,9462.5625
2015-01-01 06:00:00+00:00,1003.1875,278.4375,130.0625,2452.75,0.0,21.75,2508.8125,3015.625,622.75,219.0,145.625,1290.25,9524.625
2015-01-01 07:00:00+00:00,999.9375,276.875,131.3125,2420.75,13.25,21.75,2561.4375,3101.25,632.5625,222.0625,187.625,1348.375,9698.125
2015-01-01 08:00:00+00:00,1004.0625,280.25,131.75,2375.4375,193.3125,21.4375,2515.0625,3199.6875,596.5625,222.875,96.75,1471.0,10351.5625
2015-01-01 09:00:00+00:00,1001.9375,280.5,131.25,2506.25,529.1875,20.5,2520.5625,3182.125,639.25,222.0625,44.0625,1516.0,11066.625
2015-01-01 10:00:00+00:00,1002.9375,286.5625,131.8125,2715.625,841.0625,20.5,2487.25,3112.75,664.4375,219.125,221.125,1478.6875,11801.5625
2015-01-01 11:00:00+00:00,1003.5,284.9375,131.9375,2893.8125,1049.5625,20.5,2529.75,3116.125,734.4375,218.5625,176.25,1444.5625,12125.5625
2015-01-01 12:00:00+00:00,1001.375,282.0,131.9375,2994.3125,875.125,21.125,2613.375,3104.4375,702.5625,220.875,241.8125,1452.1875,11881.9375
2015-01-01 13:00:00+00:00,1006.0625,288.6875,131.1875,2849.0,569.6875,21.75,2707.0625,3155.375,666.0,222.5625,294.0625,1460.625,11693.0
2015-01-01 14:00:00+00:00,1007.1875,290.0,131.125,2831.625,186.375,21.5,2767.4375,3346.8125,621.3125,242.3125,415.75,1518.8125,11683.375
2015-01-01 15:00:00+00:00,1007.6875,286.4375,131.125,3264.5,12.5,20.5,2751.625,3669.75,667.1875,271.3125,306.75,1486.5,12279.1875
2015-01-01 16:00:00+00:00,1007.3125,292.875,131.125,3727.875,0.0,20.5625,2764.375,3741.0625,702.1875,298.4375,399.4375,1366.125,13406.0625
2015-01-01 17:00:00+00:00,1006.875,292.125,131.0,4086.0,0.0,21.5,2732.5625,3571.5,672.5625,283.875,330.0,1401.0,13576.3125
2015-01-01 18:00:00+00:00,1000.6875,289.4375,130.875,4371.125,0.0,21.9375,2715.4375,3374.5,622.6875,280.9375,383.875,1466.5625,13408.625
2015-01-01 19:00:00+00:00,997.875,292.0625,130.5625,4664.75,0.0,22.0,2585.75,3091.5,610.0,302.3125,290.6875,1465.3125,12858.9375
2015-01-01 20:00:00+00:00,997.5625,296.625,130.25,4957.875,0.0,22.0,2460.0,2821.1875,602.25,301.4375,209.6875,1522.6875,12522.9375
2015-01-01 21:00:00+00:00,1000.0,292.5625,129.875,5179.0,0.0,22.0,2437.25,2607.125,574.6875,331.0625,516.6875,1521.1875,12541.3125
2015-01-01 22:00:00+00:00,1000.5,290.5,123.5,5397.25,0.0,22.0,2261.4375,2465.3125,552.3125,303.1875,359.0625,1497.3125,11869.5625
2015-01-01 23:00:00+00:00,999.9375,280.5,76.25,5541.6875,0.0,22.0,2041.1875,2258.875,556.375,293.0,325.25,1494.5,11115.125
2015-01-02 00:00:00+00:00,1000.8125,282.3125,69.125,5789.5,0.0,21.9375,1786.9375,2253.375,547.1875,281.9375,223.375,1592.6875,10667.625
2015-01-02 01:00:00+00:00,999.3125,281.0625,70.5,5991.5,0.0,21.9375,1668.9375,2254.625,493.625,280.8125,152.125,1468.4375,10433.875
2015-01-02 02:00:00+00:00,1000.0,283.3125,81.1875,6177.1875,0.0,21.9375,1616.6875,2191.25,476.75,280.0625,50.875,1464.5,10414.1875
2015-01-02 03:00:00+00:00,998.0,280.5625,83.75,6346.5,0.0,22.0,1576.0,2099.5625,524.6875,282.4375,178.125,1503.1875,10617.125
2015-01-02 04:00:00+00:00,995.375,275.1875,97.0625,6445.9375,0.0,22.0,1690.0,2148.25,601.5,289.375,182.3125,1555.3125,10965.9375
2015-01-02 05:00:00+00:00,992.8125,279.125,124.5625,6464.3125,0.0,23.4375,1860.5,2192.0625,687.375,297.0625,120.1875,1522.5625,11579.6875
2015-01-02 06:00:00+00:00,1000.375,282.25,124.5625,6423.625,0.0,31.75,2018.9375,2230.0625,815.5,313.375,182.5625,1679.5625,12644.8125
2015-01-02 07:00:00+00:00,1005.1875,282.5,120.0,6527.4375,9.5,33.625,2295.0625,2497.0625,981.6875,319.1875,272.125,1683.1875,13645.8125
2015-01-02 08:00:00+00:00,1001.5,272.8125,91.875,6391.6875,63.125,33.5,2452.4375,2742.4375,1035.875,321.0,397.5625,1683.625,14428.3125
2015-01-02 09:00:00+00:00,999.0,272.5,101.5,6308.875,166.6875,33.375,2524.4375,2969.8125,1056.4375,324.0625,273.25,1692.0,14932.6875
2015-01-02 10:00:00+00:00,994.875,277.375,104.875,6347.6875,315.625,34.0,2558.0,3089.8125,1065.5625,329.625,208.1875,1655.375,15327.875
2015-01-02 11:00:00+00:00,1003.625,276.125,103.5625,6306.9375,431.5,34.0,2559.375,3155.375,1070.5,326.1875,290.75,1606.6875,15375.9375
2015-01-02 12:00:00+00:00,1002.375,274.5,107.75,6340.8125,474.8125,33.8125,2565.8125,2973.0,1020.5,322.125,268.375,1511.25,15120.125
2015-01-02 13:00:00+00:00,1005.0,278.6875,121.4375,6202.875,338.0625,32.75,2546.8125,2939.5,964.875,323.5,336.6875,1552.625,14813.5625
2015-01-02 14:00:00+00:00,1004.0,278.625,122.3125,6123.25,129.0625,32.75,2551.8125,3167.25,994.8125,326.875,299.875,1599.5,14638.125
2015-01-02 15:00:00+00:00,1007.75,282.0,123.375,6056.375,11.375,33.25,2610.0625,3306.4375,1060.375,324.625,421.9375,1524.5,14977.5625
2015-01-02 16:00:00+00:00,1008.5,284.9375,123.0,5952.375,0.0,33.875,2658.3125,3411.5,1095.9375,336.9375,404.4375,1563.1875,15740.0625
2015-01-02 17:00:00+00:00,1008.6875,288.625,118.8125,6133.75,0.0,34.0625,2678.625,3361.75,1069.5625,334.0,437.8125,1516.0625,15814.6875
2015-01-02 18:00:00+00:00,1008.3125,291.625,125.4375,6070.25,0.0,34.0,2675.625,3238.1875,1012.8125,330.5625,454.0,1526.375,15387.25
2015-01-02 19:00:00+00:00,1007.125,289.75,127.875,5941.75,0.0,34.0,2635.0625,2723.625,943.0625,325.6875,256.8125,1532.0625,14429.875
2015-01-02 20:00:00+00:00,1009.25,286.75,119.0625,5972.5,0.0,34.0,2506.0,2483.0,957.8125,317.9375,147.8125,1484.75,13802.0
2015-01-02 21:00:00+00:00,1006.1875,292.625,125.5625,6010.75,0.0,34.0,2419.875,2421.25,977.5625,301.875,252.0625,1456.1875,13387.0625
2015-01-02 22:00:00+00:00,1003.8125,298.1875,118.875,6037.625,0.0,34.0,2112.375,2227.9375,893.9375,297.5625,244.6875,1322.375,11969.375
